"","bigram","n.x","nusers.x","nbigrams.x","unique_users.x","n.y","nusers.y","nbigrams.y","unique_users.y","usage.x","usage.y","ratio"
"118","alex jones",76,58,5406079,548,17,15,6162567,599,1.53348591195235e-06,7.80196524531523e-08,19.6551235968803
"1323","control laws",17,13,5406079,548,3,3,6162567,599,8.50623926506698e-08,4.33442513628624e-09,19.6248383525091
"161","trump won",66,48,5406079,548,14,13,6162567,599,1.108173948699e-06,5.68893299137569e-08,19.4794691795276
"726","violent crimes",27,19,5406079,548,5,5,6162567,599,1.89027539223711e-07,9.75245655664404e-09,19.3825563975399
"394","fine people",40,23,5406079,548,7,7,6162567,599,3.32148390350234e-07,1.7337700545145e-08,19.157580296497
"1869","mass immigration",13,12,5406079,548,3,2,6162567,599,6.14339502477059e-08,3.25081885221468e-09,18.8979924876014
"1517","shit tier",16,13,5406079,548,3,3,6162567,599,8.0336704170077e-08,4.33442513628624e-09,18.5345695551475
"1528","successful people",16,13,5406079,548,3,3,6162567,599,8.0336704170077e-08,4.33442513628624e-09,18.5345695551475
"405","abiding citizens",39,29,5406079,548,8,8,6162567,599,4.05059012622237e-07,2.19430272524491e-08,18.4595775214665
"213","anti semitism",55,20,5406079,548,9,7,6162567,599,3.96957832369792e-07,2.16721256814312e-08,18.3165157956752
"828","literally hitler",24,20,5406079,548,5,5,6162567,599,1.77213318022229e-07,9.75245655664404e-09,18.1711466226936
"253","york times",51,24,5406079,548,9,8,6162567,599,4.38813930340757e-07,2.43811413916101e-08,17.9980880834299
"236","founding fathers",52,37,5406079,548,13,9,6162567,599,6.79824042850988e-07,3.79262199425046e-08,17.9249090439698
"92","identity politics",94,54,5406079,548,25,13,6162567,599,1.76369445079266e-06,9.8608171850512e-08,17.8858852942369
"1689","biggest threat",14,14,5406079,548,3,3,6162567,599,7.59485648666694e-08,4.33442513628624e-09,17.5221771004546
"908","30 million",22,21,5406079,548,5,5,6162567,599,1.7079988365571e-07,9.75245655664404e-09,17.5135241734914
"715","justice department",27,17,5406079,548,5,5,6162567,599,1.7012478530134e-07,9.75245655664404e-09,17.4443007577859
"1648","russian interference",15,13,5406079,548,3,3,6162567,599,7.56110156894842e-08,4.33442513628624e-09,17.4443007577859
"4","fake news",401,160,5406079,548,79,57,6162567,599,2.18468578457803e-05,1.25698328952301e-06,17.380388448975
"344","kamala harris",43,27,5406079,548,14,5,6162567,599,4.15860586292163e-07,2.43811413916101e-08,17.0566496298351
"1222","electoral votes",18,13,5406079,548,4,3,6162567,599,8.97880811312625e-08,5.4180314203578e-09,16.5720857198966
